C[C@@H](CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1	ZINC000000057278
CCc1cccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3	ZINC000000057313
COc1ccccc1OC[C@H](O)COC(N)=O	ZINC000000057340
COc1ccccc1OC[C@@H](O)COC(N)=O	ZINC000000057341
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1	ZINC000000057435
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1	ZINC000000057464
Cc1ccc(S(=O)(=O)/N=C(\O)NN2CCCCCC2)cc1	ZINC000000057512
COc1ccc(CN(CCN(C)C)c2ncccn2)cc1	ZINC000000057513
Cc1cccc(N(C)C(=S)Oc2ccc3ccccc3c2)c1	ZINC000000057522
CCN(Cc1ccncc1)C(=O)[C@@H](CO)c1ccccc1	ZINC000000057532
CCN(Cc1ccncc1)C(=O)[C@H](CO)c1ccccc1	ZINC000000057533
Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1	ZINC000000057534
NC[C@H](O)c1ccc(O)c(O)c1	ZINC000000057624
CN[C@@H](C)[C@H](O)c1ccccc1	ZINC000000074836
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C	ZINC000000075008
Cc1nccn1C[C@@H]1CCc2c(c3ccccc3n2C)C1=O	ZINC000000075126
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	ZINC000000083315
NC[C@@H](CC(=O)O)c1ccc(Cl)cc1	ZINC000000085733
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	ZINC000000089763
CN1CCCN=C1/C=C/c1cccs1	ZINC000000097996
N[C@@H](Cc1ccccc1)C(=O)O	ZINC000000105196
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	ZINC000000105216
CNC[C@H](O)c1cccc(O)c1	ZINC000000113355
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	ZINC000000113382
CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1	ZINC000000113398
CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1	ZINC000000113404
CN(C)CC[C@H](c1ccc(Cl)cc1)c1ccccn1	ZINC000000113410
CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1	ZINC000000113415
c1ccc2c(c1)CCC[C@H]2C1=NCCN1	ZINC000000113426
c1ccc2c(c1)CCC[C@@H]2C1=NCCN1	ZINC000000113428
Cc1ncc([N+](=O)[O-])n1CCO	ZINC000000113442
CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C	ZINC000000113446
CC(C)(S)[C@H](N)C(=O)O	ZINC000000114124
CC(C)(S)[C@@H](N)C(=O)O	ZINC000000114127
Nc1ccc(C(=O)NCC(=O)O)cc1	ZINC000000119344
c1ccc2c(CC3=NCCN3)cccc2c1	ZINC000000119717
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1	ZINC000000120286
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	ZINC000000120319
O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(Cl)c1	ZINC000000121480
COC(=O)/N=c1\[nH]c2ccc(C(=O)c3ccccc3)cc2[nH]1	ZINC000000121541
COc1ccc(C(=O)c2ccccc2)c(O)c1	ZINC000000136138
Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O	ZINC000000137884
Cc1cccc(C)c1NC(=O)[C@@H]1CCCCN1C	ZINC000000154964
Cc1ccccc1[C@@H](OCCN(C)C)c1ccccc1	ZINC000000155269
CN(C)CCOC(=O)[C@@H](c1ccccc1)C1(O)CCCC1	ZINC000000155531
